0.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
1.00 ; 28.21 ; -46.02 ; -26.26 ; 21.08
2.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
3.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
4.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
5.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
6.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
7.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
8.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
9.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
10.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
11.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
12.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
13.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
14.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
15.00 ; 28.21 ; -46.02 ; -26.26 ; 21.08
16.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
17.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
18.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
19.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
20.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
21.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
22.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
23.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
24.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
25.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
26.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
27.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
28.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
29.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
30.00 ; 28.21 ; -46.02 ; -26.26 ; 21.08
31.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
32.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
33.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
34.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
35.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
36.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
37.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
38.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
39.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
40.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
41.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
42.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
43.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
44.00 ; 28.21 ; -46.02 ; -26.26 ; 21.08
45.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
46.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
47.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
48.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
49.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
50.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
51.00 ; 28.08 ; -45.89 ; -26.26 ; 19.96
52.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
53.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
54.00 ; 28.21 ; -46.02 ; -26.26 ; 21.08
55.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
56.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
57.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
58.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
59.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
60.00 ; 28.21 ; -45.89 ; -26.26 ; 21.08
61.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
62.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
63.00 ; 28.21 ; -45.89 ; -26.26 ; 19.96
64.00 ; 28.21 ; -46.02 ; -26.26 ; 19.96
