frame_idx,state,path_id,path_index,path_s,match_distance_px,angle_error_deg,signed_angle_error_deg
83,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
84,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
85,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
86,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
87,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
88,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
89,tracking,0,101,103.354,6.789216486,11.61391634,-11.61391634
90,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
91,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
92,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
93,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
94,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
95,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
96,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
97,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
98,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
99,tracking,0,124,133.7639,10.67782391,10.69060166,-10.69060166
100,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
101,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
102,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
103,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
104,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
105,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
106,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
107,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
108,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
109,tracking,0,126,136.5255,8.540269161,11.5068937,-11.5068937
110,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
111,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
112,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
113,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
114,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
115,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
116,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
117,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
118,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
119,tracking,0,185,213.5141,9.634710965,7.919741639,7.919741639
120,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
121,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
122,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
123,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
124,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
125,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
126,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
127,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
128,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
129,tracking,0,218,240.5545,12.86281568,22.05108903,22.05108903
130,tracking,0,216,239.39,12.88632778,22.61437784,22.61437784
131,tracking,0,216,239.39,12.88632778,22.61437784,22.61437784
132,tracking,0,216,239.39,12.88632778,22.61437784,22.61437784
133,tracking,0,216,239.39,12.88632778,22.61437784,22.61437784
134,tracking,0,216,239.39,12.88632778,22.49955136,22.49955136
135,tracking,0,216,239.39,12.88632778,22.49955136,22.49955136
136,tracking,0,216,239.39,12.88632778,22.49955136,22.49955136
137,tracking,0,216,239.39,12.88632778,22.49955136,22.49955136
138,tracking,0,216,239.39,12.88632778,22.49955136,22.49955136
