Frame,Mean_Absolute_Error_px,R2_Score
265,0.7263,0.9999
266,0.7100,0.9999
267,0.7766,0.9998
268,0.8964,0.9998
269,0.8046,0.9998
270,0.8679,0.9998
271,0.7973,0.9998
272,0.8574,0.9998
273,0.7554,0.9998
274,0.9153,0.9998
275,0.8902,0.9998
276,0.9003,0.9998
277,0.8962,0.9998
278,0.9336,0.9998
279,0.8356,0.9998
280,0.8968,0.9998
281,0.7252,0.9998
282,0.7634,0.9998
283,0.8482,0.9998
284,0.8699,0.9998
285,0.7078,0.9999
286,0.7118,0.9999
287,0.8789,0.9998
288,0.7188,0.9999
289,0.8186,0.9998
290,0.8525,0.9998
291,0.8465,0.9999
292,0.8240,0.9999
293,0.8674,0.9998
294,0.7717,0.9999
295,0.7246,0.9998
296,0.6934,0.9999
297,0.7038,0.9998
298,0.8649,0.9998
299,0.6858,0.9998
300,0.7305,0.9998
301,0.6879,0.9998
302,0.6314,0.9999
303,0.7163,0.9999
304,0.9054,0.9999
305,0.9082,0.9999
306,0.9453,0.9999
307,0.9734,0.9999
308,1.0143,0.9999
309,1.1589,0.9998
310,1.3694,0.9995
311,1.2409,0.9995
312,1.2399,0.9996
313,1.3421,0.9996
314,1.3384,0.9996
315,1.2580,0.9996
316,1.2960,0.9995
317,1.3708,0.9995
318,0.8956,0.9998
319,0.8051,0.9998
320,0.7234,0.9998
321,0.7110,0.9998
322,0.6677,0.9998
323,0.8152,0.9998
324,0.7648,0.9998
325,0.7408,0.9998
326,0.8235,0.9997
327,0.7546,0.9998
328,0.8619,0.9997
329,0.8628,0.9997
330,0.7968,0.9998
331,0.8461,0.9998
332,0.8576,0.9997
333,0.7509,0.9998
334,0.6431,0.9997
335,0.6567,0.9997
336,0.6796,0.9997
337,0.8099,0.9994
338,0.7735,0.9996
339,1.0297,0.9991
340,0.9557,0.9991
341,0.7970,0.9993
342,0.7809,0.9993
343,0.7511,0.9993
344,0.7412,0.9993
345,0.7455,0.9993
346,0.7601,0.9993
347,0.7280,0.9993
348,0.7028,0.9993
349,0.6754,0.9994
350,0.6563,0.9993
351,0.6025,0.9994
352,0.5364,0.9996
353,0.5504,0.9994
354,0.5196,0.9995
