frame,time_s,absolute_error_mm,absolute_error_px
191,12.666667,0.000000,0.000000
192,12.733333,0.000000,0.000000
193,12.800000,0.000000,0.000000
194,12.866667,0.000000,0.000000
195,12.933333,0.000000,0.000000
196,13.000000,0.000000,0.000000
197,13.066667,0.000000,0.000000
198,13.133333,0.000000,0.000000
199,13.200000,0.000000,0.000001
200,13.266667,0.000000,0.000000
201,13.333333,0.000000,0.000000
202,13.400000,0.000000,0.000000
203,13.466667,0.000000,0.000000
204,13.533333,0.000000,0.000000
205,13.600000,0.000000,0.000000
206,13.666667,0.000000,0.000000
207,13.733333,0.000000,0.000000
208,13.800000,0.000000,0.000000
209,13.866667,0.000000,0.000001
210,13.933333,0.000000,0.000000
211,14.000000,0.000000,0.000000
212,14.066667,0.000000,0.000001
213,14.133333,0.000000,0.000000
214,14.200000,0.000000,0.000000
215,14.266667,0.000000,0.000000
216,14.333333,0.000000,0.000000
217,14.400000,0.000000,0.000000
218,14.466667,0.000000,0.000000
219,14.533333,0.000000,0.000000
220,14.600000,0.000000,0.000000
221,14.666667,0.000000,0.000000
222,14.733333,0.000000,0.000000
223,14.800000,0.026233,0.305623
224,14.866667,0.044105,0.513850
225,14.933333,0.051055,0.594819
226,15.000000,0.046798,0.545220
227,15.066667,0.045973,0.535611
228,15.133333,0.038202,0.445074
229,15.200000,1.589426,18.517585
230,15.266667,1.569902,18.290120
231,15.333333,1.590492,18.530003
232,15.400000,1.605365,18.703285
233,15.466667,0.000000,0.000000
234,15.533333,0.000000,0.000000
235,15.600000,0.000000,0.000000
236,15.666667,0.000000,0.000000
237,15.733333,0.000000,0.000000
238,15.800000,0.000000,0.000001
239,15.866667,0.000000,0.000000
240,15.933333,0.000000,0.000000
241,16.000000,0.000000,0.000000
242,16.066667,0.000000,0.000000
243,16.133333,0.000000,0.000000
244,16.200000,0.000000,0.000000
245,16.266667,0.000000,0.000000
246,16.333333,0.000000,0.000000
247,16.400000,0.000000,0.000000
248,16.466667,0.000000,0.000000
249,16.533333,0.000000,0.000000
250,16.600000,0.000000,0.000000
251,16.666667,0.000000,0.000000
252,16.733333,0.000000,0.000001
253,16.800000,0.000000,0.000000
254,16.866667,0.000000,0.000000
255,16.933333,0.000000,0.000000
256,17.000000,0.000000,0.000000
257,17.066667,0.000000,0.000000
258,17.133333,0.000000,0.000000
259,17.200000,0.000000,0.000000
260,17.266667,0.000016,0.000190
261,17.333333,0.000002,0.000024
262,17.400000,0.000006,0.000068
263,17.466667,0.000000,0.000000
264,17.533333,0.000001,0.000011
265,17.600000,0.000000,0.000002
266,17.666667,0.000005,0.000061
267,17.733333,0.000000,0.000005
268,17.800000,0.000000,0.000000
269,17.866667,0.001872,0.021813
270,17.933333,0.174349,2.031245
271,18.000000,0.183384,2.136514
272,18.066667,0.171293,1.995641
273,18.133333,0.183224,2.134654
274,18.200000,0.234334,2.730104
275,18.266667,0.331033,3.856691
276,18.333333,0.447593,5.214677
277,18.400000,0.536290,6.248041
278,18.466667,0.530760,6.183613
279,18.533333,0.547592,6.379710
280,18.600000,0.916998,10.683473
281,18.666667,1.148671,13.382569
282,18.733333,1.210053,14.097703
283,18.800000,1.207318,14.065842
284,18.866667,1.238509,14.429234
285,18.933333,1.525257,17.769989
286,19.000000,1.535120,17.884899
287,19.066667,1.550891,18.068638
288,19.133333,1.539219,17.932653
289,19.200000,1.522457,17.737358
290,19.266667,1.484977,17.300707
291,19.333333,1.523135,17.745264
292,19.400000,1.558380,18.155879
293,19.466667,1.522547,17.738415
294,19.533333,1.429305,16.652094
295,19.600000,1.274592,14.849618
296,19.666667,1.151484,13.415351
297,19.733333,1.086880,12.662676
298,19.800000,1.129117,13.154761
299,19.866667,1.185458,13.811161
300,19.933333,1.252797,14.595690
301,20.000000,1.328070,15.472658
302,20.066667,1.377629,16.050048
303,20.133333,1.322035,15.402354
304,20.200000,1.244109,14.494470
305,20.266667,1.185673,13.813663
306,20.333333,1.136435,13.240022
307,20.400000,1.104560,12.868660
308,20.466667,1.111713,12.951996
309,20.533333,1.123060,13.084189
310,20.600000,1.140167,13.283500
311,20.666667,1.155041,13.456787
312,20.733333,1.169293,13.622827
313,20.800000,1.158423,13.496188
314,20.866667,1.148597,13.381717
315,20.933333,1.122243,13.074676
316,21.000000,1.222898,14.247356
317,21.066667,1.309120,15.251888
318,21.133333,1.302589,15.175792
319,21.200000,1.333652,15.537693
320,21.266667,1.338673,15.596196
321,21.333333,1.326877,15.458766
322,21.400000,1.341769,15.632265
323,21.466667,1.440981,16.788128
324,21.533333,1.502144,17.500710
325,21.600000,1.512259,17.618557
326,21.666667,1.531001,17.836904
327,21.733333,1.454955,16.950927
328,21.800000,1.219941,14.212904
329,21.866667,1.141342,13.297187
330,21.933333,1.149620,13.393629
331,22.000000,1.253313,14.601700
332,22.066667,1.194529,13.916839
333,22.133333,1.237649,14.419217
334,22.200000,1.284847,14.969089
335,22.266667,1.261722,14.699678
336,22.333333,1.240054,14.447234
337,22.400000,1.108833,12.918442
338,22.466667,1.144199,13.330468
339,22.533333,1.164644,13.568672
340,22.600000,1.169776,13.628460
341,22.666667,1.160316,13.518249
342,22.733333,1.147907,13.373671
343,22.800000,1.018139,11.861819
344,22.866667,0.792161,9.229061
345,22.933333,0.764499,8.906790
346,23.000000,0.731202,8.518856
347,23.066667,0.805303,9.382171
348,23.133333,0.796757,9.282601
349,23.200000,0.759943,8.853701
350,23.266667,0.751834,8.759234
351,23.333333,0.704029,8.202281
352,23.400000,0.743419,8.661187
353,23.466667,0.852023,9.926477
354,23.533333,0.856579,9.979563
355,23.600000,0.852781,9.935317
356,23.666667,0.854695,9.957606
357,23.733333,0.855862,9.971204
358,23.800000,0.936907,10.915416
359,23.866667,0.949960,11.067491
360,23.933333,0.946545,11.027703
361,24.000000,0.950620,11.075189
362,24.066667,0.955351,11.130298
363,24.133333,2.950136,34.370513
364,24.200000,2.959967,34.485055
365,24.266667,2.955533,34.433396
366,24.333333,2.946804,34.331693
368,24.466667,4.253558,49.556020
369,24.533333,4.271948,49.770264
370,24.600000,4.255361,49.577026
371,24.666667,4.243297,49.436465
372,24.733333,4.219717,49.161757
373,24.800000,2.700070,31.457128
374,24.866667,2.765421,32.218499
375,24.933333,2.714596,31.626358
376,25.000000,2.673383,31.146212
